"Longitude","Latitude","Count"
-111.7236,40.2903,196
-117.0532,32.6361,196
-90.1154,32.4618,196
77.0333,28.4667,196
-97.3375,37.6922,195
-70.1031,43.857,195
-118.3993,34.0291,194
-83.372,42.3684,194
-122.3942,37.7898,194
-111.8436,40.4982,193
-117.6642,34.104,193
-117.165,33.1176,193
-84.2124,33.9443,192
-79.4079,43.6565,191
-122.1873,47.6727,190
-122.0838,37.386,189
-79.988,40.4495,189
-118.309,34.1808,188
-97.8082,30.4998,187
-117.2335,32.7977,187
-117.8502,33.6897,187
-122.0657,37.5963,187
-97.5551,35.327,187
-121.2795,38.7632,186
-118.6152,34.1749,186
-76.7141,39.3264,185
-75.1678,38.7259,185
-110.3607,31.5273,185
-117.0753,32.9954,185
-118.8188,34.1965,185
-80.1496,26.0222,185
-111.9456,33.6161,185
-84.5413,33.9253,184
120.9822,14.6042,184
-117.2898,34.1083,184
-77.9447,34.2257,184
-121.3706,38.7843,184
-76.428,36.9788,184
-79.4258,43.6536,183
-87.6368,41.8876,182
-73.9972,40.7517,182
-121.9599,37.5079,182
-74.1724,40.7357,182
-93.1874,45.0724,182
-83.6324,32.8407,181
-119.177,34.1975,181
-79.65,43.6,181
-93.9568,36.2995,180
-79.2295,38.129,180
-73.9885,40.7317,180
-98.6161,29.5698,179
-95.3011,32.3513,179
-78.9378,43.8719,179
-105.0875,39.8028,178
-79.3686,43.6525,178
-77.2121,38.8381,177
-73.2102,40.8191,177
-96.8903,32.9537,177
-71.4162,42.2793,177
-83.9705,35.7565,177
-117.2569,33.6238,177
-121.9887,37.2852,176
-92.402,38.8817,176
-76.1474,43.0481,176
-122.4449,37.7691,176
-73.5429,41.061,175
-111.7123,40.6247,175
-122.2171,47.4829,175
-87.6524,41.9224,175
-70.3217,43.5781,175
126.9783,37.5985,175
-118.6739,34.1182,175
-96.4463,32.738,174
-115.1134,35.9887,173
-83.2219,42.4734,173
-122.2348,47.3809,173
-105.2037,40.0507,173
-118.4041,33.9571,172
-121.9829,37.567,172
-80.5023,43.4665,171
0.1667,51.55,171
-117.3019,33.1357,171
-87.7423,41.6322,171
-97.7663,30.2966,170
36.8167,-1.2833,170
-78.4767,38.0293,170
-122.6962,45.4509,170
-95.4678,29.7489,170
-117.5642,33.93,170
-86.2341,39.9042,169
-66.0616,18.4208,169
-79.792,36.0726,168
49.8822,40.3953,168
-104.9995,39.7525,168
-74.0132,40.7082,167
-117.2073,32.8594,167
-117.0158,32.5694,167
-84.2135,33.9412,167
-75.1676,39.9511,166
-79.8549,32.8229,166
-97.7278,31.1171,166
-117.127,32.9656,166
-84.2807,30.4383,166
-111.9391,40.6097,166
-96.982,32.9193,165
-116.3915,43.6121,165
-122.5023,37.9719,165
-74.4171,40.8245,165
-87.6551,41.9373,165
-89.603,35.182,165
-71.5506,42.3458,165
-87.6238,41.8849,165
-111.5709,40.3393,164
-80.3697,36.0079,164
-70.8737,43.1979,163
-118.5662,34.418,163
-97.8225,30.1678,163
-121.8387,38.0051,163
-117.6119,33.6199,163
-77.6843,43.286,163
-121.6868,37.8754,163
121.525,25.0392,162
-73.2637,41.1412,162
-73.9396,42.8142,162
-77.0325,38.8749,162
-118.4143,34.0995,162
-95.6972,29.9691,162
-122.0735,37.9181,162
-73.0943,41.3846,161
-85.0556,41.1569,161
-122.1408,47.6201,161
-111.7838,40.393,161
-119.7072,34.4194,161
23.7333,37.9833,160
-117.644,33.6051,160
-77.3861,38.9695,160
-117.2721,33.0958,160
73.2,22.3,160
-81.2812,28.2489,160
-97.7687,30.2414,160
-5.9333,54.5833,159
-122.7799,45.3084,158
